ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
OPGT,medium_airport,Gilgit Airport,35.91880035,74.33360291,4796,AS,PK,PK-NA,Gilgit,OPGT,GIL,
OPJA,medium_airport,Shahbaz Air Base,28.28420067,68.4496994,185,AS,PK,PK-SD,Jacobabad,OPJA,JAG,
OPJI,small_airport,Jiwani Airport,25.06780052,61.80540085,186,AS,PK,PK-BA,Jiwani,OPJI,JIW,
OPKC,medium_airport,Jinnah International Airport,24.90649986,67.16079712,100,AS,PK,PK-SD,Karachi,OPKC,KHI,
OPKD,small_airport,Hyderabad Airport,25.31809998,68.3660965,130,AS,PK,PK-SD,Hyderabad,OPKD,HDD,
OPKH,small_airport,Khuzdar Airport,27.79059982,66.64730072,4012,AS,PK,PK-BA,Khuzdar,OPKH,KDD,
OPKL,small_airport,Kalat Airport,29.13333321,66.51667023,6100,AS,PK,PK-BA,Kalat,OPKL,KBH,
OPKT,small_airport,Kohat Airport,33.56999969,71.44000244,1650,AS,PK,PK-NW,Kohat,OPKT,OHT,
OPLA,medium_airport,Alama Iqbal International Airport,31.52160072,74.4036026,712,AS,PK,PK-PB,Lahore,OPLA,LHE,
OPLL,small_airport,Loralai Airport,30.35549927,68.6135025,4631,AS,PK,PK-BA,Loralai,OPLL,LRG,
OPMA,medium_airport,Mangla Airport,33.05009842,73.63839722,902,AS,PK,PK-PB,Mangla,OPMA,XJM,
OPMF,medium_airport,Muzaffarabad Airport,34.3390007,73.50859833,2691,AS,PK,PK-JK,Muzaffarabad,OPMF,MFG,
OPMI,medium_airport,Mianwali Air Base,32.56309891,71.5707016,690,AS,PK,PK-PB,Mianwali,OPMI,MWD,
OPMJ,medium_airport,Moenjodaro Airport,27.33519936,68.14309692,154,AS,PK,PK-SD,Moenjodaro,OPMJ,MJD,
OPMK,medium_airport,Mirpur Khas Air Base,25.68250084,69.07279968,60,AS,PK,PK-SD,Mirpur Khas,OPMK,MPD,
OPMP,small_airport,Sindhri Tharparkar Airport,25.68280029,69.07279968,51,AS,PK,PK-SD,Sindhri,OPMP,MPD,
OPMS,medium_airport,Minhas Air Base,33.86909866,72.40090179,1023,AS,PK,PK-PB,Kamra,OPMS,ATG,
OPMT,medium_airport,Multan International Airport,30.20319939,71.4190979,403,AS,PK,PK-PB,Multan,OPMT,MUX,
OPNH,medium_airport,Nawabshah Airport,26.21940041,68.39009857,95,AS,PK,PK-SD,Nawabash,OPNH,WNS,
OPNK,small_airport,Nushki Airport,29.53899956,66.02330017,3200,AS,PK,PK-BA,Nushki,OPNK,NHS,
OPOR,small_airport,Ormara Airport,25.27470016,64.58599854,10,AS,PK,PK-BA,Ormara Raik,OPOR,ORW,
OPPC,small_airport,Parachinar Airport,33.90209961,70.07160187,5800,AS,PK,PK-TA,Parachinar,OPPC,PAJ,
OPPG,medium_airport,Panjgur Airport,26.9545002,64.13249969,3289,AS,PK,PK-BA,Panjgur,OPPG,PJG,
OPPI,medium_airport,Pasni Airport,25.29050064,63.3451004,33,AS,PK,PK-BA,Pasni,OPPI,PSI,
OPPS,medium_airport,Peshawar International Airport,33.9939003,71.51460266,1158,AS,PK,PK-NW,Peshawar,OPPS,PEW,
OPQT,medium_airport,Quetta International Airport,30.25139999,66.93779755,5267,AS,PK,PK-BA,Quetta,OPQT,UET,
OPRK,medium_airport,Shaikh Zaid Airport,28.38389969,70.27960205,271,AS,PK,PK-PB,Rahim Yar Khan,OPRK,RYK,
OPRN,large_airport,Benazir Bhutto International Airport,33.61669922,73.09919739,1668,AS,PK,PK-IS,Islamabad,OPRN,ISB,
OPRT,medium_airport,Rawalakot Airport,33.84970093,73.79810333,5479,AS,PK,PK-JK,Rawalakot,OPRT,RAZ,
OPSB,small_airport,Sibi Airport,29.57119942,67.84790039,436,AS,PK,PK-BA,Sibi,OPSB,SBQ,
OPSD,medium_airport,Skardu Airport,35.33549881,75.53600311,7316,AS,PK,PK-NA,Skardu,OPSD,KDU,
OPSK,medium_airport,Sukkur Airport,27.72200012,68.79170227,196,AS,PK,PK-SD,Mirpur Khas,OPSK,SKZ,
OPSN,medium_airport,Sehwan Sharif Airport,26.47310066,67.71720123,121,AS,PK,PK-SD,Sehwan Sharif,OPSN,SYW,
OPSR,medium_airport,Mushaf Air Base,32.04859924,72.66500092,614,AS,PK,PK-PB,Sargodha,OPSR,SGI,
OPSS,medium_airport,Saidu Sharif Airport,34.81359863,72.35279846,3183,AS,PK,PK-NW,Saidu Sharif,OPSS,SDT,
OPST,large_airport,Sialkot Airport,32.53555679,74.3638916,837,AS,PK,PK-PB,Sialkot,OPST,SKT,
OPSU,medium_airport,Sui Airport,28.64509964,69.17690277,763,AS,PK,PK-BA,Sui,OPSU,SUL,
OPSW,small_airport,Sahiwal Airport,31.88944435,72.39167023,570,AS,PK,PK-PB,Sahiwal,OPSW,SWN,
OPTA,small_airport,Tarbela Dam Airport,33.98609924,72.61139679,1114,AS,PK,PK-NW,Tarbela,OPTA,TLB,
OPTH,small_airport,Talhar Airport,24.84149933,68.83840179,28,AS,PK,PK-SD,Badin,OPTH,BDN,
OPTT,small_airport,Taftan Airport,28.96419907,61.59540176,2742,AS,PK,PK-BA,Taftan,OPTT,TFT,
OPTU,medium_airport,Turbat International Airport,25.9864006,63.03020096,498,AS,PK,PK-BA,Turbat,OPTU,TUK,
OPWN,small_airport,Wana Airport,32.30469894,69.57039642,4550,AS,PK,PK-TA,Waana,OPWN,WAF,
OPZB,medium_airport,Zhob Airport,31.35840034,69.46360016,4728,AS,PK,PK-BA,Fort Sandeman,OPZB,PZH,
ORAA,medium_airport,Al Asad Air Base,33.78559875,42.44120026,618,AS,IQ,IQ-AN,Hīt,ORAA,IQA,
ORBB,small_airport,Bamarni Airport,37.09880066,43.26660156,3455,AS,IQ,IQ-DA,Bamarni,ORBB,BMN,
ORBD,medium_airport,Joint Base Balad,33.94020081,44.36159897,161,AS,IQ,IQ-SD,Balad,ORBD,XQC,
ORBI,large_airport,Baghdad International Airport,33.26250076,44.23460007,114,AS,IQ,IQ-BG,Baghdad,ORBI,BGW,
ORBM,medium_airport,Mosul International Airport,36.30580139,43.1473999,719,AS,IQ,IQ-NI,Mosul,ORBM,OSB,
ORER,medium_airport,Erbil International Airport,36.23759842,43.96319962,1341,AS,IQ,IQ-AR,Arbil,ORER,EBL,
ORKK,medium_airport,Kirkuk Air Base,35.4695015,44.34889984,1061,AS,IQ,IQ-TS,Kirkuk,ORKK,KIK,
ORMM,large_airport,Basrah International Airport,30.54910088,47.66210175,11,AS,IQ,IQ-BA,Basrah,ORMM,BSR,
ORNI,small_airport,Al Najaf International Airport,31.989853,44.404317,,AS,IQ,IQ-NA,,ORNI,NJF,
ORQW,medium_airport,Qayyarah West Airport,35.76720047,43.12509918,749,AS,IQ,IQ-NI,Qayyarah,ORQW,RQW,
ORSU,medium_airport,Sulaymaniyah International Airport,35.5617485,45.31673813,2494,AS,IQ,IQ-SW,Sulaymaniyah,ORSU,ISU,OSO
OSAP,large_airport,Aleppo International Airport,36.18069839,37.22439957,1276,AS,SY,SY-HL,Aleppo,OSAP,ALP,
OSDI,large_airport,Damascus International Airport,33.41149902,36.5155983,2020,AS,SY,SY-DI,Damascus,OSDI,DAM,
OSDZ,medium_airport,Deir ez-Zor Airport,35.28540039,40.17599869,700,AS,SY,SY-DY,Deir ez-Zor,OSDZ,DEZ,
OSE,small_airport,Omora Airport,-7.827777778,147.0806389,2540,OC,PG,PG-MPL,Omora,AYOM,OSE,OOA
OSG,small_airport,Ossima Airport,-2.915555556,141.2973056,205,OC,PG,PG-SAN,Ossima,AYZS,OSG,OSA
OSKL,medium_airport,Kamishly Airport,37.02059937,41.19139862,1480,AS,SY,SY-HA,Kamishly,OSKL,KAC,
OSLK,large_airport,Bassel Al-Assad International Airport,35.40110016,35.94869995,157,AS,SY,SY-LA,Latakia,OSLK,LTK,
OSPR,medium_airport,Palmyra Airport,34.55739975,38.31689835,1322,AS,SY,SY-HI,,OSPR,PMS,
OTBH,medium_airport,Al Udeid Air Base,25.11730003,51.31499863,130,AS,QA,QA-RA,Ar Rayyan,OTBH,XJD,
OTT,small_airport,Andre Maggi Airport,-9.898611111,-58.58194444,900,SA,BR,BR-MT,Cotriguaçu,,OTT,
OYAA,medium_airport,Aden International Airport,12.8295002,45.02880096,7,AS,YE,YE-AD,Aden,OYAA,ADE,
OYAB,small_airport,Abbse Airport,15.30000019,43.96699905,651,AS,YE,YE-SN,Abbse,OYAB,EAB,
OYAT,medium_airport,Ataq Airport,14.55130005,46.82619858,3735,AS,YE,YE-AB,,OYAT,AXK,
OYBN,medium_airport,Beihan Airport,14.78199959,45.7201004,3800,AS,YE,YE-AB,,OYBN,BHN,
OYBQ,small_airport,Al-Bough Airport,17.34670067,44.62170029,3800,AS,YE,YE-SD,Al-Bough,OYBQ,BUK,
OYGD,medium_airport,Al Ghaidah International Airport,16.19169998,52.17499924,134,AS,YE,YE-MR,,OYGD,AAY,
OYHD,medium_airport,Hodeidah International Airport,14.75300026,42.97629929,41,AS,YE,YE-HU,Hodeida,OYHD,HOD,
OYKM,small_airport,Kamaran Airport,15.36330032,42.60499954,51,AS,YE,YE-AD,Kamaran,OYKM,KAM,
OYMB,small_airport,Mareb Airport,15.46920013,45.32690048,3300,AS,YE,YE-MA,Mareb,OYMB,MYN,
OYQN,small_airport,Qishn Airport,15.41699982,51.68299866,98,AS,YE,YE-MR,Qishn,OYQN,IHN,
OYRN,medium_airport,Mukalla International Airport,14.66259956,49.375,54,AS,YE,YE-HD,Riyan,OYRN,RIY,
OYSH,small_airport,Sadah Airport,16.96699905,43.73300171,5938,AS,YE,YE-SD,Sadah,OYSH,SYE,
OYSN,medium_airport,Sana'a International Airport,15.47630024,44.21969986,7216,AS,YE,YE-SN,Sana'a,OYSN,SAH,
OYSQ,medium_airport,Socotra International Airport,12.63070011,53.90579987,146,AS,YE,YE-HD,Socotra Islands,OYSQ,SCT,
OYSY,medium_airport,Sayun International Airport,15.96609974,48.78829956,2097,AS,YE,YE-HD,Sayun,OYSY,GXF,
OYTZ,medium_airport,Ta'izz International Airport,13.68599987,44.13909912,4838,AS,YE,YE-TA,Ta'izz,OYTZ,TAI,
PA-0001,small_airport,Achutupo Airport,8.431659698,-77.96520233,1047,NA,PA,PA-5,Achutupo,,ACU,
PA-0003,small_airport,Alligandi Airport,9.21366024,-78.02519989,55,NA,PA,PA-Q,Alligandi,,AIL,
PA-0004,small_airport,Carti Airport,9.313469887,-79.10160065,785,NA,PA,PA-Q,Carti,,CTE,
PA-0013,small_airport,Playón Chico Airport,9.305184161,-78.23587418,18,NA,PA,PA-Q,Playón Chico,,PYC,
PA-AML,small_airport,Puerto Armuelles Airport,8.268059731,-82.86489868,42,NA,PA,PA-4,Puerto Armuelles,,AML,
PA-BFQ,small_airport,Bahia Piña Airport,7.583000183,-78.19999695,14,NA,PA,PA-5,Bahia Piña,,BFQ,
PA-ELE,small_airport,EL Real Airport,8.133000374,-77.69999695,57,NA,PA,PA-5,El Real,,ELE,
PA-OTD,small_airport,Contadora Airport,8.628760338,-79.03469849,14,NA,PA,PA-8,Contadora Island,,OTD,
PA-SAX,small_airport,Sambu Airport,8.017000198,-78.19999695,32,NA,PA,PA-5,Boca de Sábalo,,SAX,
PAAK,small_airport,Atka Airport,52.22029877,-174.2059937,57,NA,US,US-AK,Atka,PAAK,AKB,AKA
